调查时间,虫口密度,发生程度分级,平均日降水量（30天）,平均气压（30天）,平均风速（30天）,平均温度（30天）,平均水汽压（30天）,平均相对湿度（30天）,平均2020时日照时数（30天）,平均气压日较差（30天）,平均最大风速（30天）,平均气温日较差（30天）,33℃以上及-8℃以下温度天数（30天）,平均日降水量（60天）,平均气压（60天）,平均风速（60天）,平均温度（60天）,平均水汽压（60天）,平均相对湿度（60天）,平均2020时日照时数（60天）,平均气压日较差（60天）,平均最大风速（60天）,平均气温日较差（60天）,33℃以上及-8℃以下温度天数（60天）,平均日降水量（90天）,平均气压（90天）,平均风速（90天）,平均温度（90天）,平均水汽压（90天）,平均相对湿度（90天）,平均2020时日照时数（90天）,平均气压日较差（90天）,平均最大风速（90天）,平均气温日较差（90天）,33℃以上及-8℃以下温度天数（90天）
2008.02.25,37.2001 ,4,0.5 ,10228.9 ,14.2 ,-9.6 ,30.7 ,55.6 ,62.4 ,57.0 ,37.0 ,115.9 ,7,1.9 ,10228.6 ,15.2 ,-10.8 ,33.0 ,59.0 ,48.8 ,54.8 ,37.5 ,96.8 ,10,2.4 ,10215.7 ,14.1 ,0.1 ,39.7 ,64.4 ,45.0 ,53.4 ,34.9 ,98.5 ,10
2008.03.23,35.2101 ,4,2.6 ,10147.4 ,21.2 ,75.8 ,55.2 ,53.4 ,75.3 ,67.0 ,52.5 ,128.4 ,0,1.6 ,10192.5 ,17.4 ,30.4 ,41.8 ,53.7 ,68.3 ,60.6 ,43.5 ,120.9 ,8,2.1 ,10201.8 ,16.7 ,18.6 ,40.8 ,57.4 ,56.1 ,57.1 ,41.1 ,107.8 ,10
2008.04.01,5.0692 ,2,2.7 ,10126.8 ,20.6 ,93.5 ,61.7 ,53.4 ,76.2 ,60.0 ,51.7 ,132.5 ,0,1.8 ,10170.1 ,18.2 ,48.7 ,46.9 ,53.8 ,71.2 ,60.0 ,45.8 ,127.8 ,6,2.2 ,10192.0 ,17.2 ,26.6 ,42.7 ,57.1 ,59.6 ,58.0 ,42.0 ,111.8 ,10
2008.04.27,227.8447 ,5,30.0 ,10088.5 ,20.3 ,133.9 ,99.3 ,66.1 ,56.5 ,53.4 ,47.7 ,112.8 ,0,15.9 ,10106.8 ,20.7 ,112.2 ,78.1 ,58.1 ,70.2 ,58.5 ,49.6 ,125.8 ,0,11.1 ,10146.3 ,18.6 ,72.1 ,62.7 ,57.8 ,67.2 ,58.0 ,45.6 ,121.7 ,7
2008.05.07,455.6894 ,5,46.5 ,10055.3 ,22.8 ,164.1 ,125.2 ,67.8 ,74.9 ,54.2 ,48.0 ,111.8 ,0,24.6 ,10081.1 ,22.1 ,135.8 ,98.3 ,62.2 ,72.6 ,56.6 ,49.8 ,121.5 ,0,16.7 ,10123.5 ,20.7 ,97.7 ,76.6 ,58.1 ,72.7 ,58.9 ,48.1 ,123.8 ,3
2008.05.16,258.1452 ,5,35.4 ,10052.7 ,24.0 ,175.9 ,132.8 ,66.0 ,79.1 ,54.5 ,50.4 ,107.9 ,0,25.3 ,10072.7 ,22.0 ,146.3 ,107.7 ,63.5 ,71.7 ,55.3 ,49.6 ,116.9 ,0,17.2 ,10106.4 ,21.5 ,117.3 ,88.2 ,60.2 ,72.8 ,59.1 ,49.6 ,121.2 ,0
2008.05.29,57.6670 ,5,22.7 ,10012.3 ,20.8 ,209.2 ,165.6 ,67.5 ,75.7 ,51.7 ,47.6 ,115.3 ,0,25.9 ,10049.0 ,20.6 ,173.9 ,134.0 ,66.9 ,70.1 ,53.0 ,47.4 ,116.0 ,0,18.2 ,10072.2 ,20.9 ,148.4 ,109.9 ,61.8 ,72.4 ,55.6 ,49.3 ,121.7 ,0
2008.06.06,21.4001 ,3,19.9 ,10017.2 ,18.6 ,206.1 ,155.8 ,65.3 ,74.1 ,50.7 ,46.2 ,116.7 ,0,33.2 ,10036.3 ,20.7 ,185.1 ,140.5 ,66.5 ,74.5 ,52.5 ,47.1 ,114.3 ,0,23.1 ,10058.0 ,20.8 ,160.7 ,118.9 ,63.5 ,72.6 ,54.3 ,48.6 ,119.1 ,0
2009.02.26,8.5334 ,2,8.3 ,10135.2 ,19.2 ,51.5 ,65.0 ,73.3 ,38.9 ,70.8 ,40.5 ,94.0 ,0,4.8 ,10180.8 ,17.2 ,14.8 ,48.0 ,66.5 ,49.2 ,68.1 ,40.6 ,105.5 ,12,3.2 ,10181.2 ,17.6 ,15.2 ,46.0 ,64.5 ,53.6 ,72.0 ,40.9 ,111.4 ,16
2009.03.23,23.1799 ,3,9.7 ,10124.9 ,21.1 ,78.0 ,68.5 ,64.2 ,59.7 ,75.6 ,47.9 ,106.7 ,0,7.0 ,10137.1 ,20.2 ,57.3 ,63.9 ,66.8 ,52.4 ,73.1 ,44.6 ,107.3 ,4,5.1 ,10167.3 ,18.2 ,32.9 ,53.4 ,65.0 ,54.6 ,69.6 ,42.2 ,108.4 ,13
2009.04.01,3.0682 ,2,6.2 ,10125.8 ,23.0 ,89.1 ,71.9 ,63.2 ,67.1 ,72.3 ,49.6 ,110.5 ,0,7.2 ,10134.9 ,20.6 ,71.1 ,69.7 ,69.5 ,50.8 ,71.5 ,44.6 ,99.1 ,0,4.8 ,10161.6 ,19.0 ,41.7 ,56.8 ,65.7 ,54.8 ,69.9 ,43.1 ,108.2 ,11
2009.04.27,117.5671 ,5,18.4 ,10098.5 ,18.7 ,140.8 ,104.5 ,65.6 ,73.3 ,56.0 ,45.2 ,124.6 ,0,12.1 ,10114.4 ,19.9 ,111.8 ,87.1 ,64.8 ,70.0 ,63.8 ,46.7 ,118.3 ,0,10.8 ,10121.4 ,19.7 ,91.7 ,79.8 ,67.6 ,59.6 ,66.1 ,44.6 ,110.2 ,0
